signature,target_lineage,source,n_genes_defined,n_genes_present_in_GSE123813_BCC_counts,genes_defined
T_DE_FDR05_positive,T_cell,"OSCC T-cell dynamic DE, positive log2FC, FDR < 0.05",14,14,FOS;RHOB;JUN;FOSB;UBE2S;GADD45G;SERTAD1;CRTAM;TRBV10-3;TRBV13;GADD45A;CHI3L2;DUSP1;EGR1
M_DE_FDR10_positive,Myeloid,"OSCC myeloid dynamic DE, positive log2FC, FDR < 0.10",3,3,CD9;CD1A;GADD45G
M_DE_nominal_top30_positive,Myeloid,"OSCC myeloid dynamic DE, positive log2FC, nominal P < 0.01, top 30",30,30,CD9;CD1A;GADD45G;GEM;TREM2;OLFML3;IL22RA2;CD63;CTSC;LGMN;GPR82;SUCNR1;IFI6;P2RY11;CXCL1;CTSA;MMP12;CD276;GPNMB;BCAP31;IFIT2;DNASE2;IGSF6;GAL3ST4;C3;SGK1;MMP14;SERPINE1;LTB;ID1
T_LE_TNFA_SIGNALING_VIA_NFKB,T_cell,OSCC T-cell Hallmark leading edge: HALLMARK_TNFA_SIGNALING_VIA_NFKB,60,60,FOS;RHOB;JUN;FOSB;GADD45A;DUSP1;EGR1;GEM;CD69;IER5;DUSP2;PPP1R15A;IER2;KLF4;NFKBIE;CSF1;NR4A1;DNAJB4;ICAM1;HES1;GADD45B;BTG2;DUSP4;KLF6;FOSL1;TRIB1;SDC4;TSC22D1;NFKB1;EGR2;CCNL1;IER3;TRIP10;IL1A;TNFRSF9;BCL3;DUSP5;ATF3;ID2;MAFF;CD83;PHLDA2;ZFP36;LIF;CXCL2;YRDC;TRAF1;TIPARP;TUBB2A;SLC2A6;REL;SGK1;TNFAIP3;JUNB;MAP2K3;NAMPT;ZC3H12A;EGR3;SIK1;PLK2
T_LE_MTORC1_SIGNALING,T_cell,OSCC T-cell Hallmark leading edge: HALLMARK_MTORC1_SIGNALING,69,69,IFRD1;PPP1R15A;SERPINH1;HMGCS1;BTG2;TFRC;DDIT4;HSPA5;CTSC;CD9;GLA;DDIT3;SKAP2;RAB1A;TBK1;CALR;SLC1A5;SLC2A1;HMBS;NUFIP1;GSK3B;MAP2K3;NAMPT;CORO1A;HSPA4;SORD;SLC6A6;PIK3R3;HSPE1;SQLE;SLC7A11;CACYBP;GCLC;LDLR;AURKA;HMGCR;MCM2;PSAT1;HSPA9;CXCR4;PSMC2;DHFR;PSMC6;PSMD14;DDX39A;RRP9;CDKN1A;PSMD12;CYB5B;RPN1;ENO1;CDC25A;SQSTM1;SLA;ASNS;IFI30;P4HA1;GTF2H1;GPI;PSMC4;IMMT;ABCF2;TPI1;BUB1;PRDX1;HSP90B1;STIP1;ITGB2;GMPS
T_LE_P53_PATHWAY,T_cell,OSCC T-cell Hallmark leading edge: HALLMARK_P53_PATHWAY,38,38,FOS;JUN;GADD45A;TSPYL2;IER5;PPP1R15A;KLF4;CEBPA;CD82;BTG2;HEXIM1;SOCS1;DDIT4;RGS16;TSC22D1;IER3;PLK3;IL1A;DDIT3;CD81;ATF3;HRAS;CSRNP2;RRAD;LIF;BAIAP2;ABAT;SFN;CTSD;CCND2;RALGDS;PLK2;SLC7A11;PDGFA;VDR;NOL8;CDK5R1;TCN2
T_LE_INTERFERON_ALPHA_RESPONSE,T_cell,OSCC T-cell Hallmark leading edge: HALLMARK_INTERFERON_ALPHA_RESPONSE,36,36,CSF1;PARP9;IFI44L;IFI27;OASL;BST2;EIF2AK2;IFI44;USP18;HERC6;HLA-C;LAP3;IFI35;CMPK2;MX1;LGALS3BP;RSAD2;IRF9;EPSTI1;DDX60;PSME2;UBA7;DHX58;LY6E;IRF1;TRIM25;OAS1;SAMD9L;STAT2;LAMP3;IFIH1;IFIT3;TRIM5;IFI30;RNF31;RTP4
T_LE_INTERFERON_GAMMA_RESPONSE,T_cell,OSCC T-cell Hallmark leading edge: HALLMARK_INTERFERON_GAMMA_RESPONSE,47,47,CD69;ICAM1;SOCS1;XAF1;IFI44L;HLA-DMA;HLA-DQA1;XCL1;IFI27;NFKB1;OASL;BST2;HLA-A;EIF2AK2;IFI44;IFIT1;KLRK1;USP18;HERC6;PTPN6;VCAM1;LAP3;TNFAIP3;NAMPT;IL2RB;ST8SIA4;IFI35;CMPK2;MX1;LGALS3BP;RSAD2;IRF9;EPSTI1;PFKP;ST3GAL5;DDX60;PSME2;LCP2;DHX58;OAS2;CD274;LY6E;IRF1;CDKN1A;HLA-DRB1;TRIM25;SAMD9L
T_LE_union_core,T_cell,Union of selected OSCC T-cell Hallmark leading-edge genes,198,198,FOS;RHOB;JUN;FOSB;GADD45A;DUSP1;EGR1;GEM;CD69;IER5;DUSP2;PPP1R15A;IER2;KLF4;NFKBIE;CSF1;NR4A1;DNAJB4;ICAM1;HES1;GADD45B;BTG2;DUSP4;KLF6;FOSL1;TRIB1;SDC4;TSC22D1;NFKB1;EGR2;CCNL1;IER3;TRIP10;IL1A;TNFRSF9;BCL3;DUSP5;ATF3;ID2;MAFF;CD83;PHLDA2;ZFP36;LIF;CXCL2;YRDC;TRAF1;TIPARP;TUBB2A;SLC2A6;REL;SGK1;TNFAIP3;JUNB;MAP2K3;NAMPT;ZC3H12A;EGR3;SIK1;PLK2;IFRD1;SERPINH1;HMGCS1;TFRC;DDIT4;HSPA5;CTSC;CD9;GLA;DDIT3;SKAP2;RAB1A;TBK1;CALR;SLC1A5;SLC2A1;HMBS;NUFIP1;GSK3B;CORO1A;HSPA4;SORD;SLC6A6;PIK3R3;HSPE1;SQLE;SLC7A11;CACYBP;GCLC;LDLR;AURKA;HMGCR;MCM2;PSAT1;HSPA9;CXCR4;PSMC2;DHFR;PSMC6;PSMD14;DDX39A;RRP9;CDKN1A;PSMD12;CYB5B;RPN1;ENO1;CDC25A;SQSTM1;SLA;ASNS;IFI30;P4HA1;GTF2H1;GPI;PSMC4;IMMT;ABCF2;TPI1;BUB1;PRDX1;HSP90B1;STIP1;ITGB2;GMPS;TSPYL2;CEBPA;CD82;HEXIM1;SOCS1;RGS16;PLK3;CD81;HRAS;CSRNP2;RRAD;BAIAP2;ABAT;SFN;CTSD;CCND2;RALGDS;PDGFA;VDR;NOL8;CDK5R1;TCN2;PARP9;IFI44L;IFI27;OASL;BST2;EIF2AK2;IFI44;USP18;HERC6;HLA-C;LAP3;IFI35;CMPK2;MX1;LGALS3BP;RSAD2;IRF9;EPSTI1;DDX60;PSME2;UBA7;DHX58;LY6E;IRF1;TRIM25;OAS1;SAMD9L;STAT2;LAMP3;IFIH1;IFIT3;TRIM5;RNF31;RTP4;XAF1;HLA-DMA;HLA-DQA1;XCL1;HLA-A;IFIT1;KLRK1;PTPN6;VCAM1;IL2RB;ST8SIA4;PFKP;ST3GAL5;LCP2;OAS2;CD274;HLA-DRB1
M_LE_MTORC1_SIGNALING,Myeloid,OSCC myeloid Hallmark leading edge: HALLMARK_MTORC1_SIGNALING,87,86,CD9;CTSC;LGMN;SLC2A3;HSPA5;EBP;SCD;PNP;RAB1A;CALR;IDH1;HSP90B1;M6PR;NUPR1;PRDX1;DHCR7;PSMA3;SLC1A4;GLA;TOMM40;RPN1;PSMD12;GCLC;BUB1;RIT1;CYB5B;CXCR4;CYP51A1;RDH11;DHCR24;SLC37A4;GPI;CANX;SHMT2;PPP1R15A;PSMC6;TFRC;DDX39A;ITGB2;PGK1;UCHL5;P4HA1;PSME3;GBE1;PSMG1;RRP9;IFI30;PSMC2;PSMD14;SQSTM1;ASNS;SERPINH1;PSMA4;HSPA9;GGA2;SC5D;SSR1;AURKA;IFRD1;ERO1A;NIBAN1;ENO1;STARD4;IMMT;ARPC5L;SLC1A5;PPIA;ATP2A2;AK4;RRM2;PFKL;GOT1;PSMC4;EGLN3;PSMD13;HMGCS1;TXNRD1;TPI1;PNO1;IDI1;BCAT1;MAP2K3;NUFIP1;VLDLR;TUBG1;EEF1E1;HPRT1
